year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2016,5.5,"Московское городское отделение Всероссийской общественной молодежной организации ""Всероссийский студенческий корпус спасателей""",Общественная организация,1,77,Москва,grants
2014,1.065,"Волгоградская региональная молодежная добровольческая общественная организация ""Участие""",Общественная организация,1,34,Волгоградская область,grants
2015,8.198,"Волгоградская региональная молодежная добровольческая общественная организация ""Участие""",Общественная организация,1,34,Волгоградская область,grants
2013,4.016851,"Автономная некоммерческая организация ""Центр прикладных исследований и программ""",Автономная некоммерческая организация,4,77,Москва,grants
2014,3.6,"Автономная некоммерческая организация ""Центр прикладных исследований и программ""",Автономная некоммерческая организация,4,77,Москва,grants
2015,6.460592,"Автономная некоммерческая организация ""Центр прикладных исследований и программ""",Автономная некоммерческая организация,4,77,Москва,grants
2014,6.5,"Автономная некоммерческая организация ""Национальный центр мониторинга общественного здоровья и содействия здоровому образу жизни""",Автономная некоммерческая организация,4,77,Москва,grants
2015,8,"Автономная некоммерческая организация ""Национальный центр мониторинга общественного здоровья и содействия здоровому образу жизни""",Автономная некоммерческая организация,4,77,Москва,grants
2016,5.5,"Автономная некоммерческая организация информационный центр ""Интеллектуальные коммуникации и стратегии""",Автономная некоммерческая организация,4,77,Москва,grants
2014,3,"Общероссийское общественное движение содействия укреплению дружбы и согласия среди молодежи ""Всероссийский межнациональный союз молодежи""",Общественное движение,13,00,Министерство юстиции,grants
2015,3.306775,"Общероссийское общественное движение содействия укреплению дружбы и согласия среди молодежи ""Всероссийский межнациональный союз молодежи""",Общественное движение,13,00,Министерство юстиции,grants
2016,2.5,"Общероссийское общественное движение содействия укреплению дружбы и согласия среди молодежи ""Всероссийский межнациональный союз молодежи""",Общественное движение,13,00,Министерство юстиции,grants
2016,2.7,"Автономная некоммерческая организация по развитию детско-молодежного движения ""Центр работы с молодежью""",Автономная некоммерческая организация,4,77,Москва,grants
2013,2.491,"Автономная некоммерческая организация ""Центр гражданской инициативы ""Третий Сектор""",Автономная некоммерческая организация,4,40,Калужская область,grants
2015,0.298526,Свердловский региональный фонд поддержки молодежных инициатив,Некоммерческий фонд,6,66,Свердловская область,grants
2014,7.765,"Фонд поддержки гражданских социально-гуманитарных и экономических инициатив ""Развитие""",Некоммерческий фонд,6,77,Москва,grants
2015,4,"Фонд поддержки гражданских социально-гуманитарных и экономических инициатив ""Развитие""",Некоммерческий фонд,6,77,Москва,grants
2016,2.5,"Фонд поддержки гражданских социально-гуманитарных и экономических инициатив ""Развитие""",Некоммерческий фонд,6,77,Москва,grants
2014,4.36,"Общероссийский союз общественных объединений ""Российское воинское братство""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,grants
2015,4.99044,"Общероссийский союз общественных объединений ""Российское воинское братство""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,grants
2016,4.900152,"Общероссийский союз общественных объединений ""Российское воинское братство""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,grants
2014,6.6,"Некоммерческое партнерство ""Образование.Бизнес.Консалтинг""",Некоммерческое партнерство,5,24,Красноярский край,grants
2015,4.82732,"Некоммерческое партнерство ""Образование.Бизнес.Консалтинг""",Некоммерческое партнерство,5,24,Красноярский край,grants
2014,1.5,"Автономная благотворительная некоммерческая организация ""Новый век""",Автономная некоммерческая организация,4,16,Республика Татарстан (Татарстан),grants
2015,6,"Автономная благотворительная некоммерческая организация ""Новый век""",Автономная некоммерческая организация,4,16,Республика Татарстан (Татарстан),grants
2016,3,"Автономная благотворительная некоммерческая организация ""Новый век""",Автономная некоммерческая организация,4,16,Республика Татарстан (Татарстан),grants
2014,6,"Межрегиональная общественная организация содействия развитию культурного взаимодействия в гражданском обществе ""Стоп Хам""",Общественная организация,1,77,Москва,grants
2015,8.012,"Межрегиональная общественная организация содействия развитию культурного взаимодействия в гражданском обществе ""Стоп Хам""",Общественная организация,1,77,Москва,grants
2015,9,"Международный союз общественных организаций ""Международная ассоциация фондов мира""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,grants
