year,sum_mln,organisation_name,organisation_type_name,organisation_type_code,region_code,region_name,gov_support_type
2015,13.35,"Общероссийская общественная организация ""Российская Федерация Баскетбола""",Общественная организация,1,00,Министерство юстиции,subsidies
2014,36,"Автономная некоммерческая организация ""Духовно-просветительский центр ""КАВКАЗ ДОМ МИРА""",Автономная некоммерческая организация,4,05,Республика Дагестан,subsidies
2015,25,"Автономная некоммерческая организация ""Духовно-просветительский центр ""КАВКАЗ ДОМ МИРА""",Автономная некоммерческая организация,4,05,Республика Дагестан,subsidies
2014,17.46,"Общероссийская общественная организация ""Союз писателей России""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,22.509,"Общероссийская общественная организация ""Союз писателей России""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,20.5309728,"Общероссийская общественная организация ""Союз писателей России""",Общественная организация,1,00,Министерство юстиции,subsidies
2008,51.0471,"Государственно-общественная организация ""Комитет ветеранов подразделений особого риска Российской Федерации""",Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2010,9.2608,"Государственно-общественная организация ""Комитет ветеранов подразделений особого риска Российской Федерации""",Государственно-общественное объединение,31,00,Министерство юстиции,subsidies
2016,60,"Автономная некоммерческая организация развития кинематографии ""КиноДело продакшн""",Автономная некоммерческая организация,4,78,Санкт-Петербург,subsidies
2014,2.148,"Общественная организация ""Тюменская областная общественная организация Общероссийской общественной организации ""Всероссийское общество инвалидов"" (ВОИ)",Общественная организация,1,72,Тюменская область,subsidies
2015,2.5374,"Общественная организация ""Тюменская областная общественная организация Общероссийской общественной организации ""Всероссийское общество инвалидов"" (ВОИ)",Общественная организация,1,72,Тюменская область,subsidies
2016,2.4636,"Общественная организация ""Тюменская областная общественная организация Общероссийской общественной организации ""Всероссийское общество инвалидов"" (ВОИ)",Общественная организация,1,72,Тюменская область,subsidies
2014,2,"Региональная общественная организация ""Центр Интернет-технологий""",Общественная организация,1,77,Москва,subsidies
2015,1,"Региональная общественная организация ""Центр Интернет-технологий""",Общественная организация,1,77,Москва,subsidies
2016,0.7,"Региональная общественная организация ""Центр Интернет-технологий""",Общественная организация,1,77,Москва,subsidies
2014,28.9,"Учреждение студия ""Остров""",Учреждение,8,77,Москва,subsidies
2015,1.5,"Некоммерческое партнерство ""Генеральная дирекция международных кинофестивалей ""Интерфест""",Некоммерческое партнерство,5,77,Москва,subsidies
2014,5.4,"Некоммерческое партнерства ""Фестиваль ""Новый Европейский Театр""",Некоммерческое партнерство,5,77,Москва,subsidies
2014,56,"Автономная некоммерческая организация ""Скопинский центр реставрации и строительства""",Автономная некоммерческая организация,4,62,Рязанская область,subsidies
2016,2,"Фонд развития и поддержки Международного дискуссионного клуба ""Валдай""",Некоммерческий фонд,6,77,Москва,subsidies
2014,16.74,"Общероссийская общественная организация ""Союз российских писателей""",Общественная организация,1,00,Министерство юстиции,subsidies
2015,20.876,"Общероссийская общественная организация ""Союз российских писателей""",Общественная организация,1,00,Министерство юстиции,subsidies
2016,17.958435100000003,"Общероссийская общественная организация ""Союз российских писателей""",Общественная организация,1,00,Министерство юстиции,subsidies
2017,55,"Автономная некоммерческая организация ""Возрождение""",Автономная некоммерческая организация,4,60,Псковская область,subsidies
2016,2,"Ассоциация общественных объединений ""Национальный Совет молодежных и детских объединений России""",Союз (ассоциация) общественных объединений,20,00,Министерство юстиции,subsidies
2014,0.85,"Автономная некоммерческая организация содействия сохранению традиций отечественного музыкального искусства ""Центр международных конкурсов""",Автономная некоммерческая организация,4,77,Москва,subsidies
